Permeability,Porosity,Facies
306.164,15.1326,2
541.569,14.6434,4
543.094,13.4187,4
549.45,12.9445,4
565.428,14.0959,4
564.863,19.0553,1
569.622,19.6248,1
579.008,20.1059,1
542.942,14.0907,4
355.364,13.8526,2
364.644,12.6685,2
365.476,13.0813,2
355.467,13.1036,2
421.444,14.5399,4
589.012,22.6031,1
566.954,21.6454,1
384,15.1624,2
363.111,18.2734,3
357.837,19.5806,3
386.711,15.2886,2
442.286,16.4024,4
501.702,18.4511,1
612.951,27.2416,0
615.737,25.6747,0
616.905,25.887,0
615.993,25.0774,0
612.994,24.7119,0
606.084,25.6893,0
475.071,21.2577,1
326.553,14.3159,2
324.929,15.0153,2
328.912,15.0532,2
340.514,14.7665,2
352.848,15.4094,2
375.207,15.8298,2
400.831,15.8965,2
421.964,14.9471,2
438.644,15.5408,2
450.452,15.9115,2
503.854,20.7668,3
499.186,19.6487,3
458.868,15.7492,2
460.936,15.7041,2
464.972,13.4957,2
288.42,14.7796,4
319.686,14.2121,4
364.96,14.7701,4
412.236,16.2904,4
450.595,15.976,4
472.358,11.7764,2
492.686,12.0384,2
523.355,12.8294,2
480.365,21.3201,3
489.184,19.6852,3
604.874,14.5196,2
609.005,15.2034,2
608.869,15.9154,2
437.668,18.7794,3
597.729,15.4434,2
590.652,14.5935,2
329.993,19.1382,3
320.515,19.3214,3
325.257,18.8363,3
492.822,15.7417,2
469.891,14.3312,2
450.98,15.2027,2
437.783,15.2081,2
377.886,20.8121,3
382.56,19.1165,3
378.048,18.4852,3
370.576,19.1279,3
362.881,19.4039,3
353.052,19.5029,3
344.64,18.524,3
431.003,13.3345,2
421.523,13.8287,2
417.172,13.7498,2
488.843,17.6496,4
498.004,17.8647,4
493.557,16.827,4
394.72,14.6146,2
460.028,15.8495,4
436.766,16.3976,4
464.641,19.6484,1
606.198,24.8853,0
600.596,25.6121,0
587.13,25.9141,0
568.312,24.4641,0
546.629,26.0751,0
525.317,23.9501,0
511.098,24.1694,0
504.225,23.6012,0
503.468,24.3203,0
508.308,23.3899,0
516.266,23.6493,0
526.957,24.4259,0
534.419,24.1068,0
541.992,24.52,0
550.005,22.9958,0
563.978,23.8122,0
582.078,23.844,0
596.895,24.1715,0
604.544,23.7485,0
604.274,24.2493,0
598.996,23.1869,0
590.054,23.322,0
576.175,24.0835,0
571.172,24.4522,0
573.16,24.7383,0
578.373,24.9126,0
582.697,23.8021,0
53.7234,4.49864,5
48.0336,4.12191,5
42.6504,4.22969,5
39.0935,4.78149,5
37.2072,3.51475,5
37.2808,4.56003,5
39.7028,5.97699,5
44.1682,5.84183,5
51.0116,5.33478,5
58.4921,4.95219,5
65.6304,4.92585,5
70.9054,4.15232,5
73.9537,4.56222,5
74.4016,4.80514,5
72.6076,3.34751,5
68.297,3.85931,5
62.7725,2.99665,5
58.0503,3.53399,5
326.163,20.5845,3
346.109,20.6786,3
361.835,20.4155,3
370.074,20.9396,3
366.181,21.2576,3
353.668,21.809,3
332.345,19.9925,3
341.802,15.527,2
330.194,16.2233,2
314.288,16.7198,2
295.146,15.9269,2
557.085,15.2626,4
559.011,15.4212,4
566.704,14.7232,4
579.917,15.3485,4
553.108,18.6266,1
559.261,19.8803,1
560.067,25.6047,0
539.665,15.06,4
361.252,12.4584,2
366.046,13.5135,2
363.406,14.1888,2
352.815,13.4333,2
430.071,14.5818,4
429.904,15.179,4
587.786,22.8288,1
444.022,15.1373,4
382.544,14.7042,2
355.944,19.5984,3
343.826,18.6717,3
393.523,13.2347,2
512.926,17.3657,1
613.943,27.5407,0
618.137,25.9481,0
618.724,26.4145,0
618.738,25.8257,0
617.26,26.0376,0
608.919,25.1276,0
601.414,25.5834,0
418.643,15.4156,4
312.604,15.3582,2
316.276,15.7903,2
329.969,15.9543,2
346.789,15.9811,2
369.119,15.4457,2
398.704,15.1761,2
424.633,16.7896,2
445.062,15.836,2
458.241,16.277,2
500.701,20.8232,3
495.168,20.7064,3
481.072,20.5841,3
449.245,14.7684,2
453.681,13.8977,2
461.992,13.0786,2
340.353,14.8342,4
382.308,15.6212,4
425.909,15.9615,4
460.481,16.13,4
472.439,11.6322,2
490.555,12.936,2
516.83,12.2961,2
493.974,20.9865,3
505.116,20.5049,3
501.847,20.0695,3
612.781,15.3709,2
611.711,15.1098,2
423.822,17.6762,3
383.986,18.1168,3
578.486,15.2792,2
315.924,18.1615,3
318.745,18.0831,3
333.452,18.1325,3
352.751,18.9832,3
454.449,14.5907,2
439.531,15.0491,2
432.79,15.6872,2
426,15.3299,2
408.356,20.1092,3
405.288,19.1435,3
394.631,18.9751,3
387.397,19.5164,3
379.617,19.1693,3
371.323,18.7842,3
359.786,18.8623,3
413.438,12.9657,2
411.183,14.4964,2
414.099,13.8303,2
484.804,17.0295,4
477.659,16.56,4
398.539,15.3284,2
387.81,15.1604,2
423.503,17.3777,4
407.376,16.9167,4
476.834,20.1613,1
603.142,25.5058,0
589.219,25.6056,0
570.567,24.6908,0
549.28,25.2691,0
532.406,24.0859,0
521.836,23.1726,0
516.549,22.8272,0
516.903,22.9493,0
521.248,23.556,0
530.611,23.472,0
540.671,24.1488,0
549.297,23.6717,0
555.046,22.966,0
563.625,24.5517,0
574.524,24.5062,0
587.786,23.5891,0
598.956,24.2136,0
602.796,23.537,0
597.96,23.4004,0
593.53,23.0966,0
578.964,23.4089,0
567.054,24.1099,0
566.4,25.1316,0
575.438,24.9425,0
588.296,24.6076,0
599.485,24.2615,0
607.892,25.5091,0
45.2773,3.81048,5
41.1424,4.36625,5
38.7505,4.02511,5
37.9959,4.9669,5
38.3149,4.66536,5
40.8528,6.18843,5
45.2941,5.88282,5
50.8728,4.71833,5
58.0112,4.5765,5
64.459,5.90129,5
68.9956,4.20176,5
71.1497,4.84369,5
70.2185,4.70893,5
67.2952,3.84497,5
62.3455,4.54598,5
57.7932,4.16475,5
54.6183,2.91093,5
359.454,20.5698,3
378.279,20.08,3
391.664,21.2151,3
396.187,19.8005,3
390.798,20.2904,3
373.741,19.6565,3
347.358,20.6809,3
316.66,21.0734,3
323.994,15.1052,2
309.318,15.9692,2
290.539,16.5785,2
272.064,15.9265,2
569.41,17.0789,4
578.835,15.5269,4
588.465,16.1016,4
530.235,19.7009,1
539.146,18.2464,1
579.729,25.2644,0
562.014,20.3,1
368.078,12.9894,2
365.743,11.9901,2
358.863,12.5211,2
348.109,12.8628,2
437.475,14.8977,4
440.752,14.9536,4
448.1,15.055,4
581.398,21.8916,1
373.821,14.7503,2
350.734,18.6482,3
333.454,18.9287,3
391.639,13.3959,2
448.621,16.2077,4
510.541,18.4094,1
621.044,26.8771,0
623.352,25.8303,0
622.348,26.1187,0
619.497,24.4305,0
612.156,24.5474,0
609.652,25.0158,0
405.282,16.678,4
305.794,15.8664,2
310.042,15.4673,2
327.61,15.519,2
347.558,16.9427,2
375.721,16.741,2
462.995,20.6414,3
457.644,21.0152,3
457.948,16.2708,2
467.534,16.9698,2
488.001,20.7437,3
488.477,20.5961,3
479.396,21.3102,3
458.496,19.7219,3
440.97,14.6938,2
454.268,13.0982,2
457.724,12.994,2
402.375,14.6013,4
455.698,12.817,2
458.509,11.4403,2
468.978,12.012,2
483.68,11.8455,2
506.111,12.2521,2
537.884,14.4582,2
504.621,20.2589,3
499.031,19.9931,3
479.015,17.9782,3
611.567,14.5639,2
412.734,17.2672,3
377.741,16.1089,3
560.734,14.6825,2
539.632,13.4498,2
510.954,14.4065,2
341.916,18.2894,3
369.005,18.5799,3
438.458,13.9631,2
429.182,14.3338,2
428.975,15.0386,2
430.451,15.5066,2
427.017,19.8555,3
425.362,19.2208,3
415.151,19.5177,3
402.439,18.7113,3
391.906,19.1174,3
382.962,18.9229,3
373.595,17.6558,3
407.667,13.6113,2
409.097,14.2581,2
414.074,13.3657,2
473.354,17.9538,4
463.189,17.4241,4
448.29,17.1657,4
386.231,15.6318,2
421.981,17.3647,4
414.2,18.104,4
411.834,19.0734,4
505.117,18.9479,1
604.071,26.1333,0
585.74,25.989,0
564.547,25.2184,0
548.1,24.272,0
535.801,24.1413,0
531.738,23.309,0
530.638,23.3742,0
535.387,23.5076,0
546.161,23.0975,0
557.466,24.3922,0
566.31,23.1819,0
573.481,23.2569,0
581.133,23.2102,0
589.899,23.5107,0
600.904,23.7455,0
607.162,24.4483,0
607.955,23.2041,0
601.386,24.1385,0
590.569,23.4143,0
569.668,24.0569,0
560.592,24.9508,0
564.849,25.3204,0
578.648,25.0016,0
596.665,24.0713,0
612.274,25.1292,0
627.826,25.7027,0
42.6855,4.45791,5
39.2769,3.35369,5
38.2509,3.86468,5
38.7486,3.95162,5
40.1446,5.74439,5
42.8656,5.45692,5
46.8693,5.29954,5
52.529,5.14654,5
58.5898,4.79374,5
64.1036,5.16282,5
67.3782,4.43633,5
68.9657,4.91417,5
67.368,4.20499,5
63.5219,4.67877,5
58.8684,5.14673,5
54.4406,4.93395,5
52.0957,4.84792,5
386.932,19.5498,3
401.105,20.204,3
412.356,20.1136,3
413.845,20.3763,3
407.406,19.9276,3
388.093,19.5331,3
357.76,19.9049,3
322.278,20.152,3
328.112,15.3993,2
313.315,15.6391,2
295.7,15.6329,2
276.816,16.2778,2
574.185,16.0692,4
582.788,16.2321,4
585.902,16.7537,4
497.109,18.7717,1
511.264,18.467,1
604.496,25.5889,0
543.524,18.9605,1
369.585,12.4679,2
362.561,11.4269,2
351.303,11.8003,2
336.64,12.6532,2
325.627,13.513,2
450.869,15.6584,4
460.137,14.652,4
585.793,21.8436,1
364.096,14.7142,2
346.029,17.5607,3
327.291,17.5975,3
311.423,18.1334,3
382.636,13.0551,2
472.728,16.3955,4
508.045,19.1145,1
629.431,26.0972,0
632.295,24.6628,0
629.773,25.001,0
628.145,24.6537,0
629.843,24.6332,0
487.652,21.8033,1
310.644,16.7335,2
321.397,15.7063,2
341.024,16.3878,2
366.758,17.2435,2
394.005,17.0757,2
433.938,20.2638,3
433.065,20.2095,3
442.17,20.2822,3
484.041,17.1785,2
471.488,20.5671,3
477.046,21.968,3
473.492,20.5122,3
430.567,14.4819,2
431.544,13.3236,2
439.694,12.8571,2
447.451,12.7573,2
450.086,12.1672,2
451.154,12.2015,2
453.934,11.6861,2
462.561,12.5781,2
473.457,13.0936,2
492.358,13.0434,2
523.739,13.7772,2
555.621,14.7512,2
480.396,19.8689,3
462.892,18.7902,3
435.266,17.2995,3
407.882,17.0724,3
378.767,15.3879,3
354.508,16.5218,3
514.068,14.3085,2
485.732,14.8037,2
352.955,17.2559,3
380.055,17.8295,3
405.755,19.1073,3
419.207,14.9278,2
424.645,14.1204,2
430.864,14.1181,2
435.895,19.238,3
436.4,19.243,3
424.867,19.5266,3
410.163,19.6919,3
396.013,19.3794,3
385.27,19.5662,3
377.431,18.4891,3
403.583,13.7273,2
407.787,12.6807,2
414.689,14.5447,2
460.996,17.958,4
341.318,19.7294,1
438.179,16.9664,4
431.273,17.8338,4
427.217,18.3651,4
427.282,18.2491,4
431.793,19.1167,4
444.794,17.8733,4
531.609,20.824,1
608.062,25.2586,0
587.954,24.6795,0
570.235,24.7602,0
551.224,24.4309,0
541.455,24.9251,0
540.374,24.3953,0
546.61,24.1152,0
558.069,23.3765,0
569.427,23.4392,0
579.879,24.2448,0
590.216,22.9497,0
599.033,23.5417,0
607.849,22.8871,0
616.974,24.1079,0
621.607,24.7726,0
619.658,23.1155,0
607.064,24.2919,0
589.7,24.173,0
567.879,24.4318,0
558.987,24.3859,0
562.204,24.9514,0
579.476,25.0431,0
598.307,25.0128,0
620.792,25.5494,0
638.621,24.559,0
651.258,25.4706,0
37.6136,4.44414,5
38.0119,4.01226,5
39.9193,4.56732,5
42.599,6.1549,5
45.8955,6.25009,5
49.5491,6.12507,5
54.721,4.94871,5
59.4214,5.13417,5
63.5559,5.34766,5
66.2949,5.21628,5
66.6992,4.23841,5
64.7851,4.76055,5
60.6687,5.10863,5
56.1226,4.80152,5
52.1485,4.71189,5
49.6641,5.63438,5
400.589,20.2958,3
410.315,19.4489,3
417.61,20.3998,3
417.659,20.1774,3
411.172,20.3781,3
391.693,19.6978,3
361.667,19.9796,3
327.009,20.2862,3
337.593,16.7888,2
325.06,15.8616,2
309.375,16.3729,2
289.566,15.7209,2
